Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Senegal,SEN,177.312621521383,228.478666730798,241.276062011719,245.599807739258,247.2119140625,243.61833190918,242.59521484375,244.65771484375,246.786666870117,239.922291358281,239.76741239665,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Serbia,SRB,..,9.59634292167674,36.3236127262427,37.9823161813589,39.3227919323658,39.80204191295,40.726581423263,40.7108464887454,40.955837455491,41.3301356404028,41.0286602233073,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Seychelles,SYC,3.15637011830598,3.03431888361387,6.88386535644531,7.62468957901001,7.95909309387207,7.843674659729,8.15707874298096,7.81533241271973,7.96867322921753,7.95678930990349,8.07030315148556,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sierra Leone,SLE,29.3348627714489,418.710790164958,1620.57507324219,1750.4375,1778.18005371094,1808.75476074219,1881.81066894531,1975.34399414063,2244.99462890625,2487.70601112925,2539.86837066535,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Singapore,SGP,0.970573712975329,0.938133472587271,0.846737742424011,0.845871925354004,0.858816921710968,0.863950788974762,0.879599809646606,0.878305554389954,0.885979890823364,0.89229530960426,0.877835396384707,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sint Maarten (Dutch part),SXM,..,..,1.34595239162445,1.54946506023407,1.54003620147705,1.52214002609253,1.51188910007477,1.48035085201263,1.38657069206238,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovak Republic,SVK,..,0.516257,0.506407,0.504542,0.491124,0.485412,0.491417,0.503245,0.502765,0.505028,0.505186,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovenia,SVN,0.034788,0.526381,0.62397,0.606793,0.590407,0.591238,0.595138,0.577164,0.5676,0.56936,0.565524,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Solomon Islands,SLB,2.00737041160437,3.71188955339583,6.37486212403798,6.56810166041672,6.60586216852832,6.644900278437,6.77710733722075,6.95031558268098,6.94738977253832,7.02183965525862,7.05296132699353,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Somalia,SOM,..,..,8001.03131379009,8005.59299771917,8325.86334731005,8129.2714312596,7941.63533013054,7916.91075177249,8229.53108586144,..,..,..
